Nutrition,Egg McMuffin,Egg White Delight,Sausage McMuffin,Sausage McMuffin with Egg,Sausage McMuffin with Egg Whites,Steak & Egg McMuffin,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)","Bacon, Egg & Cheese Biscuit (Large Biscuit)","Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)","Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",Sausage Biscuit (Regular Biscuit),Sausage Biscuit (Large Biscuit),Sausage Biscuit with Egg (Regular Biscuit),Sausage Biscuit with Egg (Large Biscuit),Sausage Biscuit with Egg Whites (Regular Biscuit),Sausage Biscuit with Egg Whites (Large Biscuit),Southern Style Chicken Biscuit (Regular Biscuit),Southern Style Chicken Biscuit (Large Biscuit),Steak & Egg Biscuit (Regular Biscuit),"Bacon, Egg & Cheese McGriddles","Bacon, Egg & Cheese McGriddles with Egg Whites",Sausage McGriddles,"Sausage, Egg & Cheese McGriddles","Sausage, Egg & Cheese McGriddles with Egg Whites","Bacon, Egg & Cheese Bagel","Bacon, Egg & Cheese Bagel with Egg Whites","Steak, Egg & Cheese Bagel",Big Breakfast (Regular Biscuit),Big Breakfast (Large Biscuit),Big Breakfast with Egg Whites (Regular Biscuit),Big Breakfast with Egg Whites (Large Biscuit),Big Breakfast with Hotcakes (Regular Biscuit),Big Breakfast with Hotcakes (Large Biscuit),Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),Hotcakes,Hotcakes and Sausage,Sausage Burrito,Hash Brown,Cinnamon Melts,Fruit & Maple Oatmeal,Fruit & Maple Oatmeal without Brown Sugar,Big Mac,Quarter Pounder with Cheese,Quarter Pounder with Bacon & Cheese,Quarter Pounder with Bacon Habanero Ranch,Quarter Pounder Deluxe,Double Quarter Pounder with Cheese,Hamburger,Cheeseburger,Double Cheeseburger,Bacon Clubhouse Burger,McDouble,Bacon McDouble,Daily Double,Jalape̱o Double,McRib,Premium Crispy Chicken Classic Sandwich,Premium Grilled Chicken Classic Sandwich,Premium Crispy Chicken Club Sandwich,Premium Grilled Chicken Club Sandwich,Premium Crispy Chicken Ranch BLT Sandwich,Premium Grilled Chicken Ranch BLT Sandwich,Bacon Clubhouse Crispy Chicken Sandwich,Bacon Clubhouse Grilled Chicken Sandwich,Southern Style Crispy Chicken Sandwich,McChicken,Bacon Cheddar McChicken,Bacon Buffalo Ranch McChicken,Buffalo Ranch McChicken,Premium McWrap Chicken & Bacon (Crispy Chicken),Premium McWrap Chicken & Bacon (Grilled Chicken),Premium McWrap Chicken & Ranch (Crispy Chicken),Premium McWrap Chicken & Ranch (Grilled Chicken),Premium McWrap Southwest Chicken (Crispy Chicken),Premium McWrap Southwest Chicken (Grilled Chicken),Premium McWrap Chicken Sweet Chili (Crispy Chicken),Premium McWrap Chicken Sweet Chili (Grilled Chicken),Chicken McNuggets (4 piece),Chicken McNuggets (6 piece),Chicken McNuggets (10 piece),Chicken McNuggets (20 piece),Filet-O-Fish,Premium Bacon Ranch Salad (without Chicken),Premium Bacon Ranch Salad with Crispy Chicken,Premium Bacon Ranch Salad with Grilled Chicken,Premium Southwest Salad (without Chicken),Premium Southwest Salad with Crispy Chicken,Premium Southwest Salad with Grilled Chicken,Chipotle BBQ Snack Wrap (Crispy Chicken),Chipotle BBQ Snack Wrap (Grilled Chicken),Honey Mustard Snack Wrap (Crispy Chicken),Honey Mustard Snack Wrap (Grilled Chicken),Ranch Snack Wrap (Crispy Chicken),Ranch Snack Wrap (Grilled Chicken),Small French Fries,Medium French Fries,Large French Fries,Kids French Fries,Side Salad,Apple Slices,Fruit 'n Yogurt Parfait,Baked Apple Pie,Chocolate Chip Cookie,Oatmeal Raisin Cookie,Kids Ice Cream Cone,Hot Fudge Sundae,Hot Caramel Sundae,Strawberry Sundae,Coca-Cola Classic (Small),Coca-Cola Classic (Medium),Coca-Cola Classic (Large),Coca-Cola Classic (Child),Diet Coke (Small),Diet Coke (Medium),Diet Coke (Large),Diet Coke (Child),Dr Pepper (Small),Dr Pepper (Medium),Dr Pepper (Large),Dr Pepper (Child),Diet Dr Pepper (Small),Diet Dr Pepper (Medium),Diet Dr Pepper (Large),Diet Dr Pepper (Child),Sprite (Small),Sprite (Medium),Sprite (Large),Sprite (Child),1% Low Fat Milk Jug,Fat Free Chocolate Milk Jug,Minute Maid 100% Apple Juice Box,Minute Maid Orange Juice (Small),Minute Maid Orange Juice (Medium),Minute Maid Orange Juice (Large),Dasani Water Bottle
Serving Size,4.8 oz (136 g),4.8 oz (135 g),3.9 oz (111 g),5.7 oz (161 g),5.7 oz (161 g),6.5 oz (185 g),5.3 oz (150 g),5.8 oz (164 g),5.4 oz (153 g),5.9 oz (167 g),4.1 oz (117 g),4.6 oz (131 g),5.7 oz (163 g),6.2 oz (177 g),5.9 oz (167 g),6.4 oz (181 g),5 oz (143 g),5.5 oz (157 g),7.1 oz (201 g),6.1 oz (174 g),6.3 oz (178 g),5 oz (141 g),7.1 oz (201 g),7.2 oz (205 g),6.9 oz (197 g),7.1 oz (201 g),8.5 oz (241 g),9.5 oz (269 g),10 oz (283 g),9.6 oz (272 g),10.1 oz (286 g),14.8 oz (420 g),15.3 oz (434 g),14.9 oz (423 g),15.4 oz (437 g),5.3 oz (151 g),6.8 oz (192 g),3.9 oz (111 g),2 oz (56 g),4 oz (114 g),9.6 oz (251 g),9.6 oz (251 g),7.4 oz (211 g),7.1 oz (202 g),8 oz (227 g),8.3 oz (235 g),8.6 oz (244 g),10 oz (283 g),3.5 oz (98 g),4 oz (113 g),5.7 oz (161 g),9.5 oz (270 g),5.2 oz (147 g),5.7 oz (161 g),6.7 oz (190 g),5.6 oz (159 g),7.3 oz (208 g),7.5 oz (213 g),7 oz (200 g),8.8 oz (249 g),8.3 oz (235 g),8.1 oz (230 g),7.6 oz (217 g),10 oz (284 g),9.5 oz (270 g),5.6 oz (160 g),5.1 oz (143 g),6 oz (171 g),5.7 oz (161 g),5.2 oz (148 g),11.1 oz (316 g),10.7 oz (302 g),10.9 oz (310 g),10.5 oz (297 g),11.1 oz (314 g),11.2 oz (318 g),10.7 oz (304 g),10.3 oz (291 g),2.3 oz (65 g),3.4 oz (97 g),5.7 oz (162 g),11.4 oz (323 g),5 oz (142 g),7.9 oz (223 g),9 oz (255 g),8.5 oz (241 g),8.1 oz (230 g),12.3 oz (348 g),11.8 oz (335 g),4.6 oz (130 g),4.3 oz (123 g),4.3 oz (123 g),4.1 oz (116 g),4.5 oz (128 g),4.3 oz (121 g),2.6 oz (75 g),3.9 oz (111 g),5.9 oz (168 g),1.3 oz (38 g),3.1 oz (87 g),1.2 oz (34 g),5.2 oz (149 g),2.7 oz (77 g),1 cookie (33 g),1 cookie (33 g),1 oz (29 g),6.3 oz (179 g),6.4 oz (182 g),6.3 oz (178 g),16 fl oz cup,21 fl oz cup,30 fl oz cup,12 fl oz cup,16 fl oz cup,21 fl oz cup,30 fl oz cup,12 fl oz cup,16 fl oz cup,21 fl oz cup,30 fl oz cup,12 fl oz cup,16 fl oz cup,21 fl oz cup,30 fl oz cup,12 fl oz cup,16 fl oz cup,21 fl oz cup,30 fl oz cup,12 fl oz cup,1 carton (236 ml),1 carton (236 ml),6 fl oz (177 ml),12 fl oz cup,16 fl oz cup,22 fl oz cup,16.9 fl oz
Total Fat,13,8,23,28,23,23,26,30,20,25,27,31,33,37,27,32,20,24,32,21,15,22,31,26,31,25,35,48,52,37,41,56,60,46,50,9,24,16,9,19,4,4,27,26,29,31,27,43,8,11,21,40,17,22,22,23,26,22,9,33,20,28,15,38,25,19,16,24,21,16,32,19,31,18,33,20,23,10,12,18,30,59,19,7,21,8,4.5,22,8,15,8,15,8,20,13,11,16,24,5,0,0,2,13,8,6,1.5,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
Saturated Fat,5,3,8,10,8,9,13,14,11,12,12,13,14,15,12,13,8,9,16,9,7,8,12,10,11,9,13,17,18,14,14,19,20,16,16,2,7,7,1.5,9,1.5,1.5,10,12,13,13,11,19,3,5,10,15,8,10,9,9,10,3.5,2,9,7,6,4.5,10,8,3,3,7,5,3,9,7,8,6,8,6,4.5,3,2,3,5,10,4,3.5,6,4,2,4.5,2.5,4.5,3.5,4.5,3.5,5,4.5,1.5,2.5,3.5,1,0,0,1,7,3.5,2.5,1,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0
Trans Fat,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1.5,1.5,1.5,2.5,0,0.5,1,1.5,1,1,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholesterol,260,25,45,285,50,300,250,250,35,35,30,30,250,250,35,35,30,30,280,250,35,35,265,50,275,60,295,555,555,35,35,575,575,55,55,20,50,115,0,15,5,5,85,95,105,105,85,160,30,45,90,115,75,90,80,80,70,45,65,85,105,70,90,90,110,45,35,65,50,35,80,95,65,80,60,80,50,65,25,40,65,135,40,25,70,85,10,50,70,30,40,35,45,40,45,0,0,0,0,0,0,5,0,10,10,5,25,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0
Sodium,750,770,780,860,880,960,1300,1410,1300,1420,1080,1190,1170,1280,1180,1290,1180,1290,1470,1250,1250,1030,1320,1320,1480,1480,1510,1560,1680,1590,1700,2150,2260,2170,2290,590,930,790,310,370,160,115,960,1100,1440,1180,960,1280,480,680,1040,1470,840,1110,760,1030,980,990,820,1410,1250,1400,1230,1720,1560,910,800,1260,1260,990,1540,1370,1340,1170,1480,1320,1260,1090,360,540,900,1800,590,300,860,690,150,850,680,780,700,730,650,810,720,130,190,290,65,10,0,70,170,90,135,20,170,150,85,0,5,5,0,10,20,35,15,45,65,90,30,70,100,140,50,30,45,60,25,125,135,15,0,0,5,0
Carbohydrates,31,30,29,30,30,31,38,43,36,42,34,39,36,42,34,40,41,46,38,48,47,44,48,46,57,55,56,51,56,50,55,111,116,110,115,60,61,26,15,66,58,49,47,41,48,46,45,42,32,33,35,51,34,35,34,35,44,55,42,58,44,57,43,65,51,43,40,43,41,40,56,42,56,42,68,55,61,47,12,18,30,59,39,10,22,8,20,42,28,37,30,34,27,32,25,30,44,67,15,4,4,30,32,21,22,7,53,60,49,39,55,76,28,0,0,0,0,37,53,72,27,0,0,0,0,37,54,74,27,12,23,21,34,44,65,0
Dietary Fiber,4,4,4,4,4,4,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,3,4,3,4,6,7,6,7,3,3,1,2,3,5,5,3,3,3,3,3,3,1,2,2,4,2,2,2,2,3,3,3,3,3,3,3,4,4,2,2,2,2,2,3,3,3,3,5,5,3,3,1,1,2,3,2,3,2,2,6,7,7,1,1,1,1,1,1,2,4,5,1,1,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sugars,3,3,2,2,2,3,3,4,3,4,2,3,2,3,3,3,3,4,3,15,16,15,15,15,7,8,7,3,3,3,4,17,17,17,18,14,14,2,0,32,32,18,9,10,12,10,9,10,6,7,7,14,7,7,7,6,11,10,8,11,9,11,9,16,14,7,5,6,6,5,7,6,8,6,12,10,14,12,0,0,0,0,5,4,5,4,6,12,10,8,7,3,2,3,2,0,0,0,0,2,3,23,13,15,13,6,48,43,45,39,55,76,28,0,0,0,0,35,51,70,26,0,0,0,0,37,54,74,27,12,22,19,30,39,58,0
Protein,17,18,14,21,21,26,19,19,20,20,11,11,18,18,18,18,17,17,25,19,20,11,20,21,30,30,33,28,28,26,26,36,36,35,35,8,15,12,1,6,5,5,24,30,37,37,29,48,12,15,24,39,22,27,22,22,22,24,28,36,40,32,36,36,40,21,14,22,20,14,32,36,27,30,27,31,23,27,9,13,22,44,15,9,25,29,6,23,27,14,16,14,16,15,16,2,4,6,1,1,0,4,2,2,2,1,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,0,0,0,0,8,9,0,2,3,4,0
Category,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Chicken & Fish,Salads,Salads,Salads,Salads,Salads,Salads,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Snacks & Sides,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Desserts,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages,Beverages
